0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
電子,工学,とか,情報,工学,が,学び,たい,の,で,は,なく,、,単に,プログラミング,し,たり,電子,工作,を,し,て,動く,もの,を,動かす,テクニック,が,知り,たい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
そのもの,へ,の,興味,、,無く,は,ない,けど,って,感じ,だ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
という,もの,を,やり,たい,こと,を,実現,する,道具,として,しか,見,なく,なっ,て,しまっ,た,ので,、,その,根本,に対する,興味,が,あまり,なくなっ,て,しまっ,た,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年,の,ころ,は,、,クラス,で,真ん中,以上,の,成績,を,キープ,し,て,、,いい,大学,に,行っ,て,研究,者,的,な,こと,を,する,ん,だ,とか,思っ,たり,し,て,まし,た,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
…,はぁ,…,退学,者,…,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
だ,わ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
布団,で,コーディング,する,より,椅子,に,座っ,て,机,の,上,で,やっ,た,ほう,が,効率,が,いい,こと,に,気付い,た,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
を,Windows,で,快適,に,使う,ため,だけ,に,WSL,入れる,価値,は,ある,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
し,なきゃ,なあ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
やっ,て,て,も,大して,解け,ない,から,就活,の,アピール,に,でき,ない,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
は,AtCoder,じゃん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ロゴ,っぽい,ロゴ,で,よく,ない,？,？？？？？？(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
